study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_word,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,slider.started,StudyText.stopped,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
chart ,0,0,0,2.0044444444444443,11.276189083000645,,,,,,,,,,,,0,0,0,6,,,,,0.06313295802101493,,0.042939582956023514,0.06313295802101493,0.06313295802101493,8.060981582966633,11.326943833031692,2.0044444444444443,11.276189083000645,,,,,,,,,,,,,,,p2,001,2025-10-13_13h27.33.186,Word priming experiment,,2025.1.1,118.568697463746,2025-10-13 13h29.10.890780 +0530,
book,1,1,0,1.0044444444444445,2.9481688749510795,,,,,,,,,,,,0,1,1,0,,,,,11.337622541934252,,11.329156416933984,11.337622541934252,11.337622541934252,,14.285123500041664,1.0044444444444445,2.9481688749510795,,,,,,,,,,,,,,,p2,001,2025-10-13_13h27.33.186,Word priming experiment,,2025.1.1,118.568697463746,2025-10-13 13h29.10.890780 +0530,
laptop,2,2,0,1.0044444444444445,1.7906332080019638,,,,,,,,,,,,0,2,2,5,,,,,14.295590374968015,,14.287955624982715,14.295590374968015,14.295590374968015,,16.102174249943346,1.0044444444444445,1.7906332080019638,,,,,,,,,,,,,,,p2,001,2025-10-13_13h27.33.186,Word priming experiment,,2025.1.1,118.568697463746,2025-10-13 13h29.10.890780 +0530,
Keys ,3,3,0,1.0044444444444445,5.506400041980669,,,,,,,,,,,,0,3,3,13,,,,,16.118594666942954,,16.105670624994673,16.118594666942954,16.118594666942954,,21.62134479195811,1.0044444444444445,5.506400041980669,,,,,,,,,,,,,,,p2,001,2025-10-13_13h27.33.186,Word priming experiment,,2025.1.1,118.568697463746,2025-10-13 13h29.10.890780 +0530,
Pastry ,4,4,0,1.0044444444444445,1.5535171669907868,,,,,,,,,,,,0,4,4,9,,,,,21.635179667035118,,21.624069249955937,21.635179667035118,21.635179667035118,,23.18512787495274,1.0044444444444445,1.5535171669907868,,,,,,,,,,,,,,,p2,001,2025-10-13_13h27.33.186,Word priming experiment,,2025.1.1,118.568697463746,2025-10-13 13h29.10.890780 +0530,
Case ,5,5,0,1.0044444444444445,3.3252286249771714,,,,,,,,,,,,0,5,5,10,,,,,23.194627000018954,,23.18709000002127,23.194627000018954,23.194627000018954,,26.535846082959324,1.0044444444444445,3.3252286249771714,,,,,,,,,,,,,,,p2,001,2025-10-13_13h27.33.186,Word priming experiment,,2025.1.1,118.568697463746,2025-10-13 13h29.10.890780 +0530,
Police ,6,6,0,1.0044444444444445,2.090874499990605,,,,,,,,,,,,0,6,6,12,,,,,26.55221812496893,,26.537889958010055,26.55221812496893,26.55221812496893,,28.636339124990627,1.0044444444444445,2.090874499990605,,,,,,,,,,,,,,,p2,001,2025-10-13_13h27.33.186,Word priming experiment,,2025.1.1,118.568697463746,2025-10-13 13h29.10.890780 +0530,
cushion ,7,7,0,1.0044444444444445,1.5889790420187637,,,,,,,,,,,,0,7,7,1,,,,,28.647046874975786,,28.639438249985687,28.647046874975786,28.647046874975786,,30.25336008297745,1.0044444444444445,1.5889790420187637,,,,,,,,,,,,,,,p2,001,2025-10-13_13h27.33.186,Word priming experiment,,2025.1.1,118.568697463746,2025-10-13 13h29.10.890780 +0530,
phone ,8,8,0,1.0044444444444445,1.0563476670067757,,,,,,,,,,,,0,8,8,2,,,,,30.269029874936678,,30.255335042020306,30.269029874936678,30.269029874936678,,31.33652383298613,1.0044444444444445,1.0563476670067757,,,,,,,,,,,,,,,p2,001,2025-10-13_13h27.33.186,Word priming experiment,,2025.1.1,118.568697463746,2025-10-13 13h29.10.890780 +0530,
Poster ,9,9,0,1.0044444444444445,1.1406909170327708,,,,,,,,,,,,0,9,9,14,,,,,31.34640366700478,,31.338569042040035,31.34640366700478,31.34640366700478,,32.50259779195767,1.0044444444444445,1.1406909170327708,,,,,,,,,,,,,,,p2,001,2025-10-13_13h27.33.186,Word priming experiment,,2025.1.1,118.568697463746,2025-10-13 13h29.10.890780 +0530,
